scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_left_6,glottis_left_6,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,glottis_right_6,glottis_right_6,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ST302#007_rotated,img0042.png,238.58577878932493,215.30247036165895,240.0879277201421,239.3368532547335,240.83900218555067,259.6158638207651,241.59007665095925,279.1437999213882,243.84330004718498,296.4185126257855,240.0879277201421,314.44429979559146,240.0879277201421,220.55999161951902,241.59007665095925,239.3368532547335,241.59007665095925,258.86478935535655,241.59007665095925,276.1395020597539,243.0922255817764,294.1652892295598,241.59007665095925,309.1867785377314,201.78312998430454,218.30676822329326,217.55569375788468,209.29387463839032,237.83470432391636,204.03635338053027,258.8647893553566,207.79172570757316,273.1352041981196,216.8046192924761,131.9332047013066,172.4912258333699,165.7315556446927,155.21651312897257,219.05784268870184,145.45254507866102,276.1395020597539,150.71006633652107,316.69752319181725,176.2465981604128
labeled-data,ST302#007_rotated,img0114.png,238.58577878932493,215.30247036165895,240.83900218555067,239.3368532547335,240.83900218555067,259.6158638207651,241.59007665095925,279.1437999213882,243.0922255817764,295.66743816037695,241.59007665095925,312.9421508647743,240.0879277201421,220.55999161951902,241.59007665095925,239.3368532547335,241.59007665095925,258.86478935535655,241.59007665095925,276.1395020597539,243.0922255817764,294.1652892295598,243.84330004718498,308.43570407232284,203.2852789151217,213.8003214308418,219.05784268870184,207.79172570757316,238.58577878932493,204.03635338053027,258.8647893553566,208.5428001729817,273.8862786635282,218.30676822329326,131.18213023589803,170.23800243714416,167.98477904091843,151.46114080192964,218.30676822329326,143.95039614784386,277.64165099057107,147.70576847488675,318.1996721226344,176.2465981604128
labeled-data,ST302#007_rotated,img0142.png,241.59007665095925,214.55139589625037,242.34115111636783,238.58577878932493,244.59437451259356,258.11371488994797,240.0879277201421,278.39272545597964,240.83900218555067,294.91636369496837,239.3368532547335,310.68892746854857,243.0922255817764,220.55999161951902,244.59437451259356,239.3368532547335,244.59437451259356,258.11371488994797,252.85619363208792,275.38842759434533,257.36264042453945,292.66314029874263,246.09652344341072,308.43570407232284,202.53420444971312,209.29387463839032,219.05784268870184,205.53850231134743,239.3368532547335,200.28098105348735,258.8647893553566,202.5342044497131,273.8862786635282,218.30676822329326,131.9332047013066,168.735853506327,169.48692797173558,147.70576847488675,221.31106608492757,139.4439493553924,279.1437999213882,143.95039614784386,321.2039699842687,170.23800243714416
labeled-data,ST302#007_rotated,img0178.png,241.59007665095925,213.8003214308418,241.59007665095925,238.58577878932493,236.3325553930992,258.86478935535655,239.3368532547335,278.39272545597964,241.59007665095925,294.1652892295598,239.3368532547335,313.6932253301829,250.6029702358622,221.3110660849276,249.10082130504503,239.3368532547335,255.10941702831371,258.11371488994797,258.8647893553566,276.1395020597539,258.113714889948,293.4142147641512,246.09652344341072,308.43570407232284,202.53420444971312,209.29387463839032,219.80891715411042,205.53850231134743,239.3368532547335,200.28098105348735,259.6158638207652,203.28527891512167,274.63735312893675,214.55139589625037,133.43535363212376,164.98048117928408,171.74015136796132,144.70147061325244,224.3153639465619,137.94180042457523,282.8991722484311,141.69717275161813,322.7061189150859,166.48263011010124
labeled-data,ST302#007_rotated,img0213.png,237.83470432391636,215.30247036165895,235.58148092769062,238.58577878932493,232.5771830660563,258.86478935535655,235.58148092769062,278.39272545597964,244.59437451259356,297.92066155660274,240.83900218555067,315.19537426100004,257.36264042453945,221.3110660849276,255.8604914937223,239.3368532547335,256.61156595913087,258.86478935535655,255.10941702831371,276.8905765251625,253.6072680974965,294.1652892295598,254.35834256290508,309.93785300314,201.03205551889596,214.55139589625037,218.30676822329326,211.54709803461606,237.83470432391636,209.2938746383903,258.8647893553566,212.29817250002463,274.63735312893675,219.80891715411042,129.67998130508084,167.23370457550985,169.48692797173558,146.2036195440696,221.31106608492757,137.19072595916666,283.6502467138397,140.94609828620955,328.7147146383545,164.98048117928408
labeled-data,ST302#007_rotated,img0221.png,237.83470432391636,215.30247036165895,233.32825753146489,237.83470432391636,232.5771830660563,258.86478935535655,235.58148092769062,278.39272545597964,243.84330004718498,297.92066155660274,238.58577878932493,315.19537426100004,258.8647893553566,221.3110660849276,258.8647893553566,238.58577878932493,256.61156595913087,258.86478935535655,254.35834256290508,276.8905765251625,253.6072680974965,294.1652892295598,253.6072680974965,310.68892746854857,198.7788321226702,219.80891715411045,216.05354482706753,215.30247036165895,236.3325553930992,211.54709803461603,256.61156595913087,216.8046192924761,273.8862786635282,225.0664384119705,125.92460897803795,164.2294067138755,166.48263011010127,140.94609828620955,220.559991619519,130.43105577048942,282.8991722484311,138.6928748899838,327.96364017294593,163.47833224846693
labeled-data,ST302#007_rotated,img0274.png,242.34115111636783,216.05354482706753,236.3325553930992,237.83470432391636,232.5771830660563,258.86478935535655,235.58148092769062,278.39272545597964,243.84330004718498,297.92066155660274,239.3368532547335,316.6975231918172,262.6201616823995,221.3110660849276,261.8690872169909,238.58577878932493,259.6158638207652,258.86478935535655,255.8604914937223,276.8905765251625,253.6072680974965,294.1652892295598,253.6072680974965,310.68892746854857,199.52990658807877,222.06214055033618,216.05354482706753,215.30247036165895,240.0879277201421,212.2981725000246,256.61156595913087,216.8046192924761,273.8862786635282,225.0664384119705,124.4224600472208,161.97618331764977,167.98477904091843,139.4439493553924,225.06643841197047,125.17353451262937,285.1523956446569,135.68857702834947,328.7147146383545,161.97618331764977
labeled-data,ST302#007_rotated,img0307.png,242.34115111636783,216.05354482706753,236.3325553930992,237.83470432391636,232.5771830660563,258.86478935535655,235.58148092769062,278.39272545597964,243.84330004718498,297.92066155660274,239.3368532547335,316.6975231918172,263.3712361478081,221.3110660849276,261.8690872169909,238.58577878932493,259.6158638207652,258.86478935535655,257.36264042453945,276.8905765251625,253.6072680974965,294.1652892295598,253.6072680974965,310.68892746854857,199.52990658807877,221.3110660849276,216.8046192924761,214.55139589625037,240.0879277201421,212.2981725000246,260.36693828617376,217.55569375788468,276.8905765251625,228.0707362736048,123.67138558181222,160.4740343868326,170.23800243714416,138.6928748899838,225.81751287737904,125.17353451262937,286.65454457547406,133.43535363212374,330.96793803458024,160.4740343868326
