scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_left_6,glottis_left_6,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,glottis_right_6,glottis_right_6,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ST302#006_rotated,img0086.png,241.06565720278257,225.36277163169495,240.25969303907073,254.3774815253217,241.06565720278257,281.7802630915248,241.87162136649442,309.18304465772786,240.25969303907073,332.55600540537165,237.84180054793518,352.705109498168,241.06565720278257,226.1687357954068,241.06565720278263,257.60133818016914,241.87162136649448,280.9742989278129,241.87162136649448,309.9890090135965,241.06565720278263,332.5560055975285,237.84180054793518,352.705109498168,158.85731250417342,263.2430873261521,198.3495565260543,257.6013383723259,243.48354969391818,255.98941004490226,284.5877220432228,272.1086933191393,316.02032442798514,295.4816540667831,144.34995755736003,215.6912018593095,193.51377154378315,193.9301694390894,246.70740634876563,185.06456363825902,303.9308619723073,226.16873598756362,347.4529268127475,264.8550158457327
labeled-data,ST302#006_rotated,img0126.png,239.45372887535888,229.39259245025423,238.64776471164703,255.9894098527454,241.06565720278257,281.7802630915248,241.06565720278257,309.18304465772786,241.06565720278257,335.77986206021905,237.03583638422327,356.7349303167273,239.45372887535888,229.3925924502542,239.45372887535888,258.407302343881,242.67758553020633,281.7802630915248,241.06565720278263,309.9890088214397,241.87162136649448,334.97389808866404,237.03583638422333,355.92896615301544,158.05134834046157,268.8848364721351,198.3495565260543,261.6311591908852,242.67758553020633,260.8251950271734,283.78175787951096,277.7504424651223,313.6024319368496,301.92936737647796,143.54399339364818,218.91505851415693,194.31973570749506,197.15402609393684,247.51337051247748,189.90034862053014,304.7368261360192,232.61644929725847,341.00521350305263,272.1086933191394
labeled-data,ST302#006_rotated,img0155.png,239.45372887535888,229.39259245025423,238.64776471164703,255.9894098527454,231.39408723824033,281.7802630915248,233.00601556566403,309.18304465772786,235.42390805679958,334.9738978965072,237.03583638422327,357.54089448043914,240.25969303907073,230.19855661396608,244.28951385762997,260.82519483501653,249.12529883990118,283.39219141894847,247.51337051247748,311.6009371488634,246.70740634876557,334.97389808866404,237.84180054793518,358.34685883630783,157.24538417674972,272.9146572906944,197.54359236234245,261.6311589987284,243.48354969391818,264.0490516820208,282.16982955208726,282.58622744739347,311.9905036094259,308.3770806861728,144.34995755736003,221.3329510052925,195.93166403491875,203.60173940363168,249.12529883990118,194.73613360280126,305.54279029973105,239.0641626069533,340.1992493393408,275.33254997398683
labeled-data,ST302#006_rotated,img0186.png,242.67758553020627,231.00452077767793,235.42390805679958,256.7953740164573,229.78215891081658,280.9742989278129,233.81197972937588,310.79497298515156,234.61794389308773,334.9738978965072,237.84180054793518,359.15282280786283,241.87162136649442,232.61644910510162,252.34915549474857,260.82519483501653,251.54319133103672,284.1981555826603,248.31933467618933,313.2128654762871,248.31933467618933,335.7798622523759,237.03583638422333,358.34685883630783,158.85731250417342,280.9742989278129,195.1256998712069,268.07887230842323,241.87162136649448,271.30272915542747,280.5579012246635,290.645869084512,309.5726111182903,314.0188298321558,143.54399339364818,231.00452096983474,197.54359236234245,210.85541687703838,252.34915549474857,205.21366773105538,306.3487544634429,245.51187591664814,341.00521350305263,280.1683349562579
labeled-data,ST302#006_rotated,img0259.png,245.90144218505372,231.81048494138977,237.03583638422327,256.7953740164573,228.17023058339288,281.7802630915248,232.20005140195218,312.40690131257526,233.81197972937588,335.77986206021905,235.42390805679958,359.15282280786283,247.51337051247742,232.61644910510162,252.34915549474857,260.0192306713047,254.76704798588418,285.00411974637217,250.73722716732487,314.018829639999,250.73722716732487,337.3917905797996,236.22987222051142,359.1528230000197,158.05134834046157,288.2279764012196,195.93166403491875,272.9146572906944,240.25969303907078,276.94447830141047,279.75193706095166,293.8697257393594,306.3487544634429,317.2426864870032,144.34995755736003,237.4522342795296,196.7376281986306,217.30313018673323,253.15511965846048,210.85541687703838,306.3487544634429,254.37748171747856,338.5873210119171,288.22797659337647
labeled-data,ST302#006_rotated,img0337.png,246.70740634876557,231.81048494138977,237.03583638422327,256.7953740164573,228.17023058339288,281.7802630915248,232.20005140195218,312.40690131257526,233.81197972937588,335.77986206021905,235.42390805679958,359.15282280786283,247.51337051247742,232.61644910510162,254.76704798588412,260.0192306713047,256.3789763133079,285.810083910084,250.73722716732487,314.018829639999,250.73722716732487,337.3917905797996,236.22987222051142,359.1528230000197,158.05134834046157,288.2279764012196,195.1256998712069,271.3027289632706,240.25969303907078,276.94447830141047,279.75193706095166,294.67568990307126,306.3487544634429,318.0486506507151,144.34995755736003,237.4522342795296,196.7376281986306,217.30313018673323,253.96108382217233,214.0792735318858,306.3487544634429,254.37748171747856,338.5873210119171,288.22797659337647
labeled-data,ST302#006_rotated,img0462.png,246.70740634876557,231.81048494138977,237.03583638422327,256.7953740164573,227.36426641968103,282.5862272552366,230.58812307452848,313.2128654762871,233.81197972937588,335.77986206021905,235.42390805679958,359.15282280786283,247.51337051247742,232.61644910510162,253.96108382217227,259.21326650759283,256.3789763133079,285.810083910084,253.15511965846042,314.018829639999,251.54319133103672,337.3917905797996,236.22987222051142,359.1528230000197,157.24538417674972,289.8399047286433,195.1256998712069,273.7206214544062,240.25969303907078,276.94447830141047,279.75193706095166,294.67568990307126,307.15471862715475,318.0486506507151,144.34995755736003,237.4522342795296,196.7376281986306,217.30313018673323,253.96108382217233,213.27330936817393,306.3487544634429,254.37748171747856,338.5873210119171,288.22797659337647
labeled-data,ST302#006_rotated,img0494.png,246.70740634876557,231.81048494138977,237.03583638422327,256.7953740164573,226.55830225596918,282.5862272552366,230.58812307452848,313.2128654762871,233.81197972937588,335.77986206021905,235.42390805679958,359.15282280786283,247.51337051247742,232.61644910510162,253.96108382217227,259.21326650759283,256.3789763133079,286.61604807379587,253.15511965846042,314.018829639999,251.54319133103672,337.3917905797996,236.22987222051142,359.1528230000197,157.24538417674972,289.8399047286433,195.1256998712069,273.7206214544062,240.25969303907078,276.94447830141047,279.75193706095166,294.67568990307126,307.9606827908666,319.6605789781388,144.34995755736003,237.4522342795296,196.7376281986306,217.30313018673323,253.96108382217233,214.0792735318858,306.3487544634429,254.37748171747856,337.78135684820523,287.4220124296646
