scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_left_6,glottis_left_6,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,glottis_right_6,glottis_right_6,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,STred5#006_rotated,img0036.png,269.49382890460254,160.41328417671158,264.8189483525742,188.46256748888186,265.5980951112456,214.17441052503796,264.0398015939028,229.75734569846588,260.1440678005458,246.1194276305652,259.3649210418744,263.26065632133594,275.72700297397375,161.97157769405436,289.7516446300589,190.80000776489604,290.5307913887303,215.73270404238073,286.63505759537327,233.65307949182287,278.8435900086593,250.79430818259357,267.1563886285884,262.48150956266454,219.62843634963326,220.40758459440912,239.8862520750896,216.51185080105213,258.5857742832031,213.39526376636655,280.4018835260022,211.83697024902375,306.89287332082966,214.95355728370933,110.54789013563769,140.93461520992668,161.97157620794988,105.09386431104242,226.64075717767577,98.86069024167126,282.7393238020163,104.31471755237105,324.03410201160034,134.70144114055552
labeled-data,STred5#006_rotated,img0096.png,268.71468214593114,161.192430935383,264.0398015939029,186.12512721286765,262.4815080765601,213.39526376636655,256.24833400718893,231.3156392158087,257.0274807658603,247.67772114790802,260.14406780054577,263.26065632133594,272.61041593928815,161.192430935383,284.29761731935906,189.24171424755326,289.7516446300589,214.95355728370933,285.0767640780306,233.65307949182287,277.2852964913165,250.7943081825936,264.8189483525742,263.26065632133594,218.84928959096186,218.8492910770663,239.1071053164182,214.95355728370933,259.3649210418745,211.83697024902375,278.0644432499879,211.05782349035238,305.33457980348686,214.95355728370936,108.2104498596235,137.0388814165697,161.97157620794988,101.97727727635683,224.3033169016616,97.30239672432845,279.6227367673307,104.31471755237102,322.47580849425754,134.7014411405555
labeled-data,STred5#006_rotated,img0101.png,267.9355353872598,160.41328417671158,264.0398015939029,186.90427397153906,262.4815080765601,213.39526376636655,256.24833400718893,231.3156392158087,254.69004048984613,247.67772114790802,260.14406780054577,263.26065632133594,271.05212242194534,160.41328417671158,283.51847056068766,189.24171424755326,288.9724978713875,214.95355728370933,285.0767640780306,233.65307949182287,276.5061497326451,250.0151614239222,263.2606548352314,264.03980308000735,218.84928959096186,218.8492910770663,239.1071053164182,215.73270404238073,260.9232145592173,211.05782349035235,278.8435900086593,211.05782349035238,305.33457980348686,214.95355728370936,108.2104498596235,137.0388814165697,161.19242944927848,100.41898375901404,224.3033169016616,96.52324996565706,279.6227367673307,104.31471755237102,321.6966617355862,133.1431476232127
labeled-data,STred5#006_rotated,img0227.png,267.9355353872598,160.41328417671158,261.7023613178887,187.68342073021046,260.1440678005459,212.61611700769515,250.0151599378177,231.3156392158087,250.79430669648912,246.89857438923661,260.14406780054577,263.26065632133594,269.49382890460254,160.41328417671158,281.9601770433449,189.24171424755326,287.41420435404467,214.95355728370933,282.7393238020164,233.65307949182287,276.5061497326451,249.2360146652508,263.2606548352315,264.03980308000735,217.2909960736191,214.95355728370933,239.1071053164182,213.39526376636655,260.9232145592173,211.05782349035235,278.8435900086593,208.72038321433817,305.33457980348686,214.95355728370936,104.31471606626651,133.9222943818841,159.63413593193567,98.08154348299985,221.18672986697604,92.62751617230008,278.064443249988,101.97727727635683,320.91751497691473,131.5848541058699
labeled-data,STred5#006_rotated,img0243.png,265.5980951112456,160.41328417671158,261.7023613178887,187.68342073021046,258.5857742832031,212.61611700769515,250.0151599378177,231.3156392158087,250.79430669648912,246.89857438923661,260.14406780054577,263.26065632133594,266.377241869917,160.41328417671158,281.9601770433449,189.24171424755326,286.63505759537327,214.95355728370933,281.96017704334497,233.65307949182287,274.94785621530235,248.4568679065794,260.9232145592173,262.48150956266454,216.51184931494765,215.73270404238073,239.1071053164182,213.39526376636655,260.9232145592173,209.49952997300957,278.8435900086593,208.72038321433817,303.7762862861441,210.27867673168097,104.31471606626651,133.9222943818841,158.85498917326427,97.30239672432845,221.18672986697604,92.62751617230008,278.064443249988,101.97727727635683,320.91751497691473,130.8057073471985
labeled-data,STred5#006_rotated,img0587.png,267.1563886285884,160.41328417671158,257.0274807658603,186.90427397153906,251.57345345516052,212.61611700769515,246.89857290313216,231.3156392158087,250.0151599378177,247.67772114790802,260.14406780054577,263.26065632133594,266.377241869917,160.41328417671158,281.1810302846735,189.24171424755326,285.85591083670187,214.95355728370933,279.6227367673308,233.65307949182287,274.94785621530235,248.4568679065794,260.1440678005459,262.48150956266454,216.51184931494765,215.73270404238073,238.3279585577468,212.61611700769515,260.1440678005459,207.94123645566677,278.0644432499879,207.94123645566677,303.7762862861441,210.27867673168097,102.75642254892371,132.3640008645413,158.85498917326427,97.30239672432845,221.18672986697604,92.62751617230008,278.064443249988,102.75642403502823,320.91751497691473,128.46826707118433
labeled-data,STred5#006_rotated,img0641.png,267.1563886285884,188.46256748888186,267.93553538725985,214.17441052503796,267.93553538725985,233.65307949182287,267.93553538725985,250.79430818259357,267.93553538725985,267.1563901146929,264.0398015939028,284.2976188054637,267.93553538725973,188.46256748888186,268.71468214593114,214.17441052503796,268.71468214593114,232.09478597448006,267.93553538725985,248.45686790657942,267.15638862858833,264.8189498386787,264.0398015939029,284.2976188054636,219.62843634963326,225.8616119051089,242.22369235110375,223.5241716290947,267.15638862858845,223.5241716290947,285.85591083670187,222.74502487042332,309.23031359684387,221.18673135308052,147.16778779319333,175.9962193501395,190.80000627879153,145.60949576195506,249.23601317914628,128.46826707118433,304.55543304481546,143.27205548594085,353.6416788411134,171.32133879811113
labeled-data,STred5#006_rotated,img0678.png,267.9355353872598,160.41328417671158,255.46918724851753,186.12512721286765,245.34027938578936,218.07014431839494,244.56113262711796,234.43222625049427,246.89857290313216,252.35260169993637,257.8066275245316,266.3772433560215,267.15638862858833,161.192430935383,281.1810302846735,189.24171424755326,289.7516446300589,214.95355728370933,284.2976173193592,233.65307949182287,276.5061497326451,249.2360146652508,257.8066275245317,265.5980965973501,220.40758310830466,217.29099755972354,241.44454559243235,213.39526376636655,262.4815080765601,211.05782349035235,281.1810302846735,209.4995299730096,304.5554330448155,211.05782349035238,112.88533041165188,137.8180281752411,161.97157620794988,102.75642403502823,222.74502338431878,97.30239672432845,281.1810302846735,106.65215782838521,331.0464228396429,145.60949576195506
