scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_left_6,glottis_left_6,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,glottis_right_6,glottis_right_6,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,STred5#002_rotated,img0149.png,278.0507950505486,163.04830476289283,274.1655757840738,194.1300588946917,271.83444422418887,222.1036376133107,271.83444422418887,241.52973394568497,266.3951372511241,260.1787864247643,266.3951372511241,285.0441897302034,278.05079505054863,163.04830476289283,274.1655757840738,191.7989273348068,274.1655757840738,217.44137449354085,271.83444422418887,235.3133831193252,269.50331266430396,254.7394794516995,266.3951372511241,282.7130581703185,201.90049742764145,222.1036376133107,233.75929541273527,218.9954622001308,263.28696183794415,217.44137449354085,295.145759823038,214.33319908036097,323.119338541657,211.2250236671811,142.0681207239286,184.80553265515204,189.46779577492188,149.06151540358334,252.4083478918146,129.63541907120904,306.02437376916765,143.62220843051853,361.9715312064056,175.48100641561237
labeled-data,STred5#002_rotated,img0237.png,278.0507950505486,163.04830476289283,274.1655757840738,194.1300588946917,272.61148807748384,222.1036376133107,271.0574003708939,240.75269009239,269.50331266430396,259.40174257146936,267.17218110441905,282.7130581703185,278.05079505054863,162.27126090959786,275.7196634906637,191.02188348151182,274.1655757840738,216.66433064024588,271.83444422418887,235.3133831193252,271.0574003708939,255.51652330499448,267.949224957714,281.93601431702353,201.90049742764145,225.98885687978554,236.09042697262018,219.77250605342576,266.3951372511241,217.44137449354085,294.36871596974305,212.00206752047606,323.119338541657,208.11684825400118,143.62220843051855,184.02848880185707,188.6907519216269,148.28447155028837,252.4083478918146,130.412462924504,306.8014176224626,138.9599453107487,361.1944873531106,172.3728310024325
labeled-data,STred5#002_rotated,img0368.png,278.0507950505486,163.04830476289283,275.7196634906637,194.1300588946917,271.83444422418887,222.1036376133107,267.17218110441905,240.75269009239,254.7394794516995,254.7394794516995,262.5099179846492,281.93601431702353,278.8278389038436,162.27126090959786,277.27375119725366,190.24483962821685,274.1655757840738,216.66433064024588,271.83444422418887,233.75929541273527,277.27375119725366,255.51652330499448,271.0574003708939,277.2737511972537,199.5693658677565,219.77250605342576,232.20520770614533,215.11024293365594,264.84104954453414,208.89389210729618,291.26054055656317,204.23162898752634,320.7882069817721,205.78571669411627,137.40585760415877,178.58918182879228,185.582576508447,142.0681207239286,250.85426018522466,124.19611209814425,304.47028606257766,131.96655063109395,356.5322242333408,166.15648017607273
labeled-data,STred5#002_rotated,img0489.png,279.6048827571385,161.4942170563029,274.94261963736875,192.57597118810176,264.0640056912392,218.9954622001308,255.51652330499448,236.86747082591515,250.0772163319297,252.4083478918146,262.5099179846492,277.2737511972537,283.4901020236134,161.4942170563029,279.60488275713857,190.24483962821685,278.05079505054863,215.11024293365594,281.1589704637285,232.9822515594403,281.9360143170235,255.51652330499448,269.50331266430396,271.8344442241889,196.4611904545766,215.8872867869509,231.42816385285036,209.67093596059115,261.7328741313542,205.78571669411627,289.70645284997323,201.90049742764143,317.6800315685922,201.12345357434646,131.18950677779898,173.14987485572746,184.02848880185707,137.40585760415877,248.52312862533975,119.53384897837441,305.2473299158726,125.7501998047342,356.5322242333408,162.27126090959786
labeled-data,STred5#002_rotated,img0561.png,279.6048827571385,161.4942170563029,265.6180933978291,191.02188348151182,255.51652330499448,216.66433064024588,252.4083478918146,235.3133831193252,250.0772163319297,252.4083478918146,260.95583027805924,273.38853193077887,283.4901020236134,161.4942170563029,289.70645284997323,188.69075192162688,287.3753212900883,214.33319908036097,284.2671458769084,232.20520770614533,283.4901020236134,255.51652330499448,268.726268811009,271.05740037089396,193.35301504139673,214.33319908036097,229.87407614626042,208.11684825400118,260.17878642476427,202.6775412809364,292.03758440985814,200.3464097210515,321.56525083506705,200.3464097210515,128.85837521791407,170.81874329584255,177.8121379754973,132.74359448438892,243.86086550556993,114.87158585860459,302.9161983559877,121.86498053825932,354.2010926734559,153.72377852335316
labeled-data,STred5#002_rotated,img0680.png,283.4901020236134,161.4942170563029,265.6180933978291,191.02188348151182,257.84765486487936,216.66433064024588,252.4083478918146,235.3133831193252,250.0772163319297,252.4083478918146,258.62469871817433,273.38853193077887,288.1523651433833,161.4942170563029,292.8146282631531,188.69075192162688,289.70645284997323,213.556155227066,285.8212335834984,232.20520770614533,281.9360143170235,254.7394794516995,267.17218110441905,269.503312664304,192.57597118810176,215.8872867869509,229.87407614626042,208.11684825400118,260.17878642476427,203.45458513423137,291.26054055656317,199.56936586775652,321.56525083506705,201.12345357434646,121.08793668496435,164.60239246948277,174.7039625623174,124.97315595143922,239.97564623909503,109.43227888553977,301.3621106493978,117.2027174184895,351.869961113571,149.06151540358334
labeled-data,STred5#002_rotated,img0770.png,278.82783890384354,161.4942170563029,269.5033126643039,191.7989273348068,264.84104954453414,215.8872867869509,258.62469871817433,236.86747082591515,249.30017247863472,251.63130403851963,258.62469871817433,273.38853193077887,281.9360143170235,159.94012934971295,287.3753212900883,188.69075192162688,286.59827743679335,213.556155227066,283.4901020236134,231.42816385285036,279.60488275713857,254.7394794516995,266.3951372511241,269.503312664304,189.46779577492188,216.66433064024588,230.6511199995554,210.44797981388612,258.62469871817433,204.23162898752634,292.03758440985814,201.12345357434646,320.7882069817721,207.3398044007062,117.97976127178447,155.2778662299431,171.59578714913752,118.75680512507944,236.86747082591515,100.88479649929509,293.5916721164481,109.43227888553977,344.8765664339162,140.51403301733865
labeled-data,STred5#002_rotated,img0835.png,277.2737511972536,161.4942170563029,269.5033126643039,191.7989273348068,265.6180933978291,215.8872867869509,257.0706110115844,234.53633926603024,250.85426018522466,251.63130403851963,258.62469871817433,273.38853193077887,283.4901020236134,159.94012934971295,285.8212335834984,188.69075192162688,286.59827743679335,213.556155227066,281.9360143170235,231.42816385285036,279.60488275713857,254.7394794516995,265.6180933978291,270.280356517599,189.46779577492188,216.66433064024588,229.87407614626042,209.67093596059115,258.62469871817433,204.23162898752634,289.70645284997323,201.90049742764143,320.0111631284771,210.44797981388612,114.87158585860459,147.5074276969934,169.2646555892526,112.54045429871965,234.53633926603024,95.44548952623029,293.5916721164481,102.43888420588502,340.99134716744135,135.07472604427386
