scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_left_6,glottis_left_6,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,glottis_right_6,glottis_right_6,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,STred5#003_rotated,img0023.png,274.1655757840737,131.96655063109395,274.1655757840737,170.81874329584255,271.05740037089384,203.45458513423137,259.4017425714693,223.65772531990063,255.51652330499442,245.41495321215982,256.29356715828936,267.949224957714,273.38853193077875,132.74359448438892,286.5982774367933,170.81874329584255,288.15236514338324,201.90049742764143,282.71305817031845,223.65772531990063,271.05740037089384,243.86086550556988,258.6246987181743,264.0640056912391,194.13005889469167,191.7989273348068,224.43476917319558,194.90710274798667,252.40834789181454,192.57597118810176,280.3819266104335,185.582576508447,308.3555053290525,197.23823430787158,98.55366493941015,138.9599453107487,140.51403301733865,104.77001576576993,217.44137449354082,79.12756860703585,282.71305817031845,96.9995772328202,327.00455780813184,135.07472604427383
labeled-data,STred5#003_rotated,img0194.png,271.8344442241888,131.18950677779898,271.8344442241888,169.2646555892526,269.5033126643039,203.45458513423137,259.4017425714693,223.65772531990063,255.51652330499442,245.41495321215982,256.29356715828936,267.949224957714,271.8344442241888,131.96655063109395,282.71305817031845,171.59578714913752,286.5982774367933,201.90049742764143,279.6048827571385,222.88068146660567,268.72626881100894,241.52973394568497,258.6246987181743,263.2869618379442,194.13005889469167,191.7989273348068,221.3265937600157,189.46779577492188,252.40834789181454,189.46779577492188,280.3819266104335,185.582576508447,306.0243737691676,196.4611904545766,93.89140181964031,131.96655063109398,138.1829014574537,100.88479649929508,212.77911137377106,73.68826163397108,279.60488275713857,93.11435796634535,321.56525083506705,133.52063833768386
labeled-data,STred5#003_rotated,img0273.png,271.8344442241888,131.18950677779898,271.05740037089384,169.2646555892526,268.72626881100894,202.6775412809364,259.4017425714693,223.65772531990063,255.51652330499442,245.41495321215982,256.29356715828936,267.949224957714,271.8344442241888,131.96655063109395,282.71305817031845,171.59578714913752,286.5982774367933,201.90049742764143,279.6048827571385,222.88068146660567,267.94922495771397,241.52973394568497,258.6246987181743,263.2869618379442,194.13005889469167,191.7989273348068,221.3265937600157,189.46779577492188,252.40834789181454,189.46779577492188,280.3819266104335,185.582576508447,306.0243737691676,197.23823430787158,93.11435796634534,130.412462924504,138.1829014574537,100.88479649929508,212.77911137377106,72.91121778067611,278.8278389038436,90.00618255316546,319.2341192751821,129.63541907120901
labeled-data,STred5#003_rotated,img0451.png,271.8344442241888,131.18950677779898,271.05740037089384,169.2646555892526,267.172181104419,202.6775412809364,259.4017425714693,223.65772531990063,254.73947945169945,245.41495321215982,256.29356715828936,267.949224957714,271.8344442241888,131.96655063109395,282.71305817031845,171.59578714913752,284.2671458769084,200.3464097210515,278.82783890384354,222.1036376133107,267.172181104419,241.52973394568497,258.6246987181743,263.2869618379442,194.13005889469167,191.7989273348068,221.3265937600157,189.46779577492188,251.63130403851957,187.9137080683319,279.6048827571385,186.35962036174197,306.0243737691676,197.23823430787158,91.5602702597554,127.3042875113241,136.62881375086377,96.99957723282023,208.8938921072962,71.35713007408616,278.05079505054863,88.45209484657552,318.4570754218871,128.08133136461907
labeled-data,STred5#003_rotated,img0653.png,271.8344442241888,131.18950677779898,271.05740037089384,169.2646555892526,268.72626881100894,203.45458513423137,259.4017425714693,223.65772531990063,254.73947945169945,245.41495321215982,257.07061101158433,267.949224957714,271.8344442241888,131.96655063109395,282.71305817031845,171.59578714913752,284.2671458769084,200.3464097210515,279.6048827571385,222.88068146660567,267.172181104419,242.30677779897994,258.6246987181743,263.2869618379442,193.3530150413967,191.7989273348068,221.3265937600157,189.46779577492188,250.8542601852246,189.46779577492188,279.6048827571385,186.35962036174197,306.0243737691676,198.01527816116655,92.33731411305037,124.9731559514392,136.62881375086377,96.99957723282022,207.33980440070627,69.02599851420125,276.4967073439587,83.78983172680569,316.90298771529723,122.64202439155429
labeled-data,STred5#003_rotated,img0966.png,276.49670734395863,131.18950677779898,275.71966349066366,169.2646555892526,272.6114880774838,204.23162898752634,260.95583027805924,222.88068146660567,253.96243559840448,245.41495321215982,261.7328741313542,269.50331266430396,279.6048827571385,131.18950677779898,292.0375844098581,169.2646555892526,295.14575982303796,200.3464097210515,288.9294089966782,223.65772531990063,276.49670734395863,245.41495321215982,262.5099179846492,263.2869618379442,191.0218834815118,191.02188348151182,222.88068146660564,185.582576508447,255.51652330499442,188.69075192162688,288.15236514338324,186.35962036174197,314.57185615541226,194.1300588946917,100.88479649929506,142.06812072392862,148.28447155028834,109.43227888553977,216.6643306402459,78.35052475374091,285.04418973020336,98.55366493941015,327.78160166142686,129.63541907120904
labeled-data,STred5#003_rotated,img0971.png,283.4901020236134,135.07472604427383,285.04418973020336,171.59578714913752,278.82783890384354,207.3398044007062,270.2803565175989,229.09703229296542,259.4017425714693,247.74608477204478,263.28696183794415,269.50331266430396,284.2671458769084,135.85176989756883,297.4768913829229,173.14987485572746,296.6998475296279,203.45458513423137,292.81462826315305,228.31998843967048,281.1589704637285,250.0772163319297,269.5033126643039,266.3951372511241,198.79232201446152,198.01527816116658,227.54294458637546,198.79232201446155,260.17878642476427,197.2382343078716,291.2605405565631,193.35301504139673,323.896382394952,197.2382343078716,110.9863665921297,155.27786622994313,156.05491008323807,123.41906824484926,225.21181302649063,96.22253337952526,294.368715969743,110.9863665921297,344.0995225806213,145.17629613710847
labeled-data,STred5#003_rotated,img0978.png,288.9294089966782,141.29107687063362,289.7064528499732,175.48100641561237,286.5982774367933,209.67093596059115,273.38853193077875,232.9822515594403,262.5099179846492,250.85426018522466,266.395137251124,274.1655757840738,288.9294089966782,141.29107687063362,288.9294089966782,176.25805026890737,292.0375844098581,210.44797981388612,287.37532129008827,236.09042697262018,284.2671458769084,257.84765486487936,272.6114880774838,273.3885319307788,202.67754128093637,204.23162898752634,232.20520770614527,206.56276054741124,262.5099179846492,205.0086728408213,295.14575982303796,202.6775412809364,324.673426248247,201.12345357434646,117.97976127178445,170.04169944254755,165.37943632277774,135.8517698975688,232.20520770614536,109.43227888553977,295.92280367633293,124.19611209814421,348.7617857003911,149.8385592568783
labeled-data,STred5#003_rotated,img1035.png,273.38853193077875,117.20271741848951,274.1655757840737,154.50082237664813,273.38853193077875,195.68414660128164,263.28696183794415,215.11024293365594,257.8476548648793,235.3133831193252,257.8476548648793,258.62469871817433,273.38853193077875,117.2027174184895,285.8212335834983,154.50082237664813,284.2671458769084,198.79232201446155,280.3819266104335,218.21841834683585,271.05740037089384,236.86747082591515,257.8476548648793,256.2935671582894,199.5693658677565,191.7989273348068,225.98885687978552,187.13666421503697,255.51652330499442,185.582576508447,283.4901020236135,179.36622568208728,302.9161983559878,187.13666421503697,86.89800713998558,132.74359448438895,135.07472604427383,95.44548952623028,203.45458513423142,66.69486695431632,264.0640056912391,81.45870016692078,315.3489000087073,118.75680512507942
labeled-data,STred5#003_rotated,img1309.png,273.38853193077875,117.20271741848951,274.1655757840737,154.50082237664813,273.38853193077875,195.68414660128164,263.28696183794415,215.11024293365594,255.51652330499442,235.3133831193252,259.4017425714693,259.4017425714693,273.38853193077875,117.97976127178447,285.04418973020336,156.83195393653307,283.4901020236134,198.79232201446155,280.3819266104335,218.21841834683585,270.2803565175989,236.09042697262018,259.4017425714693,258.62469871817433,199.5693658677565,191.7989273348068,222.10363761331067,187.13666421503697,252.40834789181454,186.359620361742,282.71305817031845,180.14326953538225,305.2473299158727,185.58257650844703,89.22913869987049,128.08133136461907,136.62881375086377,95.44548952623028,204.23162898752628,62.80964768784145,263.28696183794415,79.90461246033082,312.2407245955274,115.64862971189955
labeled-data,STred5#003_rotated,img1422.png,273.38853193077875,143.62220843051853,274.9426196373687,180.9203133886772,278.0507950505486,215.8872867869509,276.49670734395863,236.86747082591515,266.395137251124,267.17218110441905,267.94922495771397,285.04418973020336,274.1655757840737,143.62220843051853,274.1655757840737,180.9203133886772,279.6048827571385,214.33319908036097,276.49670734395863,238.4215585325051,285.04418973020336,264.84104954453414,268.72626881100894,286.59827743679335,207.33980440070619,220.54954990672076,236.86747082591515,215.8872867869509,264.8410495445341,215.11024293365594,300.5850667961028,213.55615522706603,327.0045578081319,208.89389210729618,131.18950677779895,184.02848880185707,177.81213797549728,153.72377852335316,242.3067777989799,128.85837521791404,299.80802294280784,138.95994531074868,363.5256189129956,165.3794363227777
labeled-data,STred5#003_rotated,img1506.png,270.2803565175989,112.54045429871967,273.38853193077875,153.72377852335316,276.49670734395863,188.6907519216269,267.94922495771397,215.11024293365594,259.4017425714693,233.7592954127353,259.4017425714693,261.7328741313542,271.8344442241888,114.87158585860459,286.5982774367933,153.72377852335316,287.37532129008827,190.24483962821685,281.9360143170235,217.44137449354085,275.71966349066366,237.64451467921012,259.4017425714693,262.5099179846492,199.5693658677565,195.68414660128164,224.43476917319558,187.13666421503697,251.63130403851957,184.80553265515204,285.8212335834983,177.8121379754973,313.79481230211735,186.359620361742,94.66844567293528,134.29768219097886,138.9599453107487,97.77662108611518,202.67754128093634,69.80304236749619,269.5033126643039,82.23574402021575,320.01116312847716,123.41906824484924
labeled-data,STred5#003_rotated,img1526.png,284.2671458769084,127.30428751132415,285.04418973020336,169.2646555892526,285.04418973020336,201.90049742764143,279.6048827571385,231.42816385285036,261.7328741313542,259.4017425714693,264.0640056912391,281.9360143170235,285.04418973020336,127.30428751132413,285.8212335834983,169.2646555892526,285.04418973020336,201.90049742764143,282.71305817031845,232.9822515594403,284.2671458769084,262.5099179846492,264.0640056912391,282.71305817031845,201.12345357434643,214.33319908036097,233.7592954127352,211.2250236671811,264.0640056912391,205.78571669411627,300.58506679610275,203.45458513423137,327.0045578081319,198.79232201446155,124.9731559514392,177.0350941222023,174.7039625623174,139.73698916404368,239.19860238580003,117.97976127178445,303.6932422092827,130.41246292450398,364.30266276629055,157.608997789828
labeled-data,STred5#003_rotated,img1630.png,270.2803565175989,114.0945420053096,272.6114880774838,156.05491008323807,272.6114880774838,185.582576508447,264.8410495445341,211.2250236671811,254.73947945169945,235.3133831193252,258.6246987181743,258.62469871817433,271.05740037089384,114.87158585860459,281.9360143170235,156.0549100832381,283.4901020236134,187.13666421503697,278.0507950505486,215.8872867869509,272.6114880774838,237.64451467921012,258.6246987181743,259.4017425714693,200.34640972105146,194.90710274798667,222.88068146660564,185.582576508447,249.30017247863466,186.359620361742,285.8212335834984,178.58918182879228,309.13254918234753,184.02848880185707,87.67505099328056,138.1829014574537,135.07472604427386,99.33070879270515,196.46119045457658,68.24895466090625,262.5099179846492,77.57348090044592,314.5718561554123,117.97976127178445
labeled-data,STred5#003_rotated,img1674.png,281.1589704637285,131.18950677779898,280.3819266104335,178.58918182879228,278.82783890384354,209.67093596059115,276.49670734395863,238.4215585325051,264.8410495445341,264.0640056912391,267.172181104419,285.8212335834984,281.9360143170235,131.18950677779898,280.3819266104335,178.58918182879228,279.6048827571385,209.67093596059115,278.0507950505486,239.97564623909503,283.4901020236134,267.17218110441905,267.172181104419,286.59827743679335,205.00867284082128,218.21841834683585,236.86747082591515,215.11024293365594,265.61809339782906,211.2250236671811,306.8014176224626,208.89389210729618,334.7749963410816,205.78571669411627,131.18950677779898,187.13666421503694,180.14326953538225,150.61560311017328,239.975646239095,128.08133136461907,308.3555053290525,136.62881375086377,373.6271890058302,166.1564801760727
