scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5,thyroid_1,thyroid_1,thyroid_2,thyroid_2,thyroid_3,thyroid_3,thyroid_4,thyroid_4,thyroid_5,thyroid_5,ventral_edge_1,ventral_edge_1,ventral_edge_2,ventral_edge_2,ventral_edge_3,ventral_edge_3
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,190906_310_005_rotated,img0099.png,350.21468714163916,123.31736614768397,350.21468714163916,136.1329940411744,349.3308507351915,147.18094912176966,348.0050961255201,155.57739498302203,347.5631779222963,163.0900044378268,350.21468714163916,123.75928435090776,351.09852354808675,134.36532122827919,350.21468714163916,144.087521699203,348.4470143287439,152.48396756045537,347.12125971907244,162.20616803137918,319.72233111919627,167.5091864700649,332.97987721591056,165.29959545394584,343.585914093282,161.32233162493156,351.5404417513106,162.20616803137918,359.05305120611536,154.2516403733506,287.0203840806344,172.37028670552678,306.9067032257058,192.2566058505982,329.8864497933439,201.0949699150744,353.7500327674296,195.79195147638868,378.0555339447391,181.20865077000298,261.8310464968773,196.6757878828363,286.5784658774106,218.32977984080296,328.11877698044873,232.02924414074104,372.31059730282965,232.91308054718866,414.73474481231534,218.77169804402678,8.611922792771189,227.16814390527915,21.427550686261654,251.47364508258866,109.81119133102352,240.86760820521724
labeled-data,190906_310_005_rotated,img0102.png,350.21468714163916,123.31736614768397,350.21468714163916,136.1329940411744,349.3308507351915,147.18094912176966,347.12125971907244,155.13547677979824,347.5631779222963,163.0900044378268,350.21468714163916,123.75928435090776,351.09852354808675,134.36532122827919,354.6338691738772,144.087521699203,348.4470143287439,152.48396756045537,347.12125971907244,162.20616803137918,319.72233111919627,168.83494107973632,333.42179541913436,165.29959545394584,343.14399589005825,162.20616803137918,351.5404417513106,162.64808623460297,358.16921479966777,154.25164037335063,287.0203840806344,173.2541231119744,306.0228668192582,192.2566058505982,329.88644979334396,201.0949699150744,354.63386917387726,196.6757878828363,379.8232067576344,181.6505689732268,262.7148829033249,197.55962428928393,287.02038408063447,218.77169804402678,328.5606951836725,232.02924414074107,373.1944337092773,232.91308054718868,414.7347448123154,217.88786163757914,8.611922792771189,226.72622570205533,20.985632483037847,251.03172687936484,109.81119133102352,240.86760820521724
labeled-data,190906_310_005_rotated,img0625.png,350.21468714163916,123.31736614768397,350.65660534486295,136.1329940411744,349.7727689384153,147.18094912176966,347.5631779222963,155.13547677979824,346.23742331262486,163.5319226410506,350.21468714163916,123.75928435090776,351.09852354808675,134.36532122827919,354.1919509706534,143.64560349597917,349.7727689384153,152.48396756045537,347.5631779222963,162.20616803137918,317.0708218998534,170.60261389263155,330.32836799656775,169.7187774861839,341.37632307716297,164.4157590474982,348.4470143287439,166.62535006361725,356.4015419867725,157.78698599914108,283.92695665806775,178.1152233474363,303.81327580313916,194.02427866349345,325.90918596432965,206.3979883537601,348.8889325319677,201.97880632152203,375.4040247253963,189.60509663125535,259.62145548075824,197.1177060860601,284.3688748612916,219.2136162472506,324.5834313546583,233.7969169536363,368.77525167703914,235.12267156330773,410.31556278007724,221.86512546659344,19.217959670142612,230.26157132784581,36.01085139264736,253.6832360987077,116.88188258260449,239.5418535955458
labeled-data,190906_310_005_rotated,img0659.png,351.5404417513106,122.87544794446015,354.6338691738772,134.36532122827919,351.9823599545344,145.85519451209822,351.5404417513106,154.2516403733506,351.09852354808675,162.20616803137918,352.4242781577582,123.75928435090776,357.28537839322007,132.59764841538396,358.6111330028915,143.20368529275538,355.51770558032484,152.48396756045537,351.5404417513106,161.76424982815536,322.37384033853914,164.85767725072202,333.8637136223582,164.4157590474982,345.35358690617727,160.43849521848392,354.19195097065347,162.64808623460297,359.93688761256294,152.9258857636792,290.55572970642487,172.37028670552678,311.3258852579439,189.60509663125535,330.32836799656775,198.44346069573155,354.19195097065347,194.02427866349345,378.93937035118677,183.41824178612202,264.4825557162202,194.90811506994106,290.1138115032011,215.67827062146011,331.21220440301533,228.9358167181744,373.6363519125011,228.4938985149506,416.50241762521057,212.1429249956696,7.728086386323568,224.0747164827125,18.33412326369499,247.93829945679818,106.27584570523307,240.42569000199342
labeled-data,190906_310_005_rotated,img0691.png,352.4242781577582,122.87544794446015,355.07578737710105,134.36532122827919,352.86619636098203,145.85519451209822,352.4242781577582,154.2516403733506,351.9823599545344,162.648086234603,352.4242781577582,123.31736614768397,359.05305120611536,132.59764841538396,362.14647862868196,143.20368529275538,358.6111330028915,152.48396756045537,354.6338691738772,161.76424982815536,324.1415131514344,164.4157590474982,336.95714104492487,163.0900044378268,346.23742331262486,160.88041342170774,355.07578737710105,161.32233162493154,362.5883968319058,152.9258857636792,293.64915712899153,171.928368502303,312.2097216643915,188.27934202158391,334.30563182558205,195.35003327316485,356.4015419867725,193.58236046026965,378.93937035118677,183.41824178612202,266.6921467323392,194.46619686671724,291.4395661128725,215.23635241823632,332.53795901268677,228.05198031172677,376.28786113184395,227.16814390527912,416.9443358284344,211.7010067924458,7.728086386323568,224.0747164827125,17.892205060471184,247.05446305035056,106.27584570523307,239.09993539232198
labeled-data,190906_310_005_rotated,img1293.png,352.4242781577582,122.87544794446015,348.8889325319677,135.69107583795062,345.795505109401,146.29711271532204,348.4470143287439,155.13547677979824,351.5404417513106,162.648086234603,352.86619636098203,122.87544794446015,358.1692147996677,132.59764841538396,362.5883968319058,143.20368529275538,359.93688761256294,153.8097221701268,356.4015419867725,161.76424982815536,321.93192213531535,171.04453209585535,336.0733046384772,171.04453209585535,348.8889325319677,167.95110467328868,357.2853783932201,167.5091864700649,364.35606964480104,159.99657701526013,293.20723892576774,177.2313869409887,313.9773944772868,195.79195147638868,331.2122044030154,202.86264272796961,356.4015419867725,202.42072452474582,378.0555339447392,194.90811506994106,267.5759831387868,194.90811506994106,290.9976479096487,218.77169804402678,331.6541226062392,231.58732593751725,375.84594292862016,231.14540773429343,416.50241762521057,216.1201888246839,23.637141702380703,229.819653124622,36.45276959587117,251.03172687936484,116.88188258260449,237.33226257942675
labeled-data,190906_310_005_rotated,img1323.png,352.4242781577582,122.87544794446015,348.8889325319677,134.807239431503,344.4697504997296,146.29711271532204,348.4470143287439,154.69355857657442,351.5404417513106,162.648086234603,353.30811456420577,122.87544794446015,359.4949694093391,132.15573021216014,365.6818242544725,142.31984888630777,362.5883968319058,152.9258857636792,360.8207240190105,161.32233162493156,324.58343135465816,165.74151365716963,337.39905924814866,166.18343186039345,350.21468714163916,161.32233162493154,359.936887612563,163.53192264105058,367.4494970673677,154.69355857657442,298.9521755676773,175.46371412809344,320.1642493224201,190.04701483447914,335.6313864352535,196.2338696796125,357.2853783932201,194.02427866349345,379.3812885544106,184.74399639579346,270.6694105613535,193.14044225704583,296.3006663483344,215.67827062146011,336.9571410449249,225.84238929560775,378.0555339447392,224.5166346859363,419.15392684455344,208.60757936987915,14.798777637904514,221.42320726336962,24.96289631205213,245.72870844067913,107.60160031490447,239.09993539232198
labeled-data,190906_310_005_rotated,img1421.png,353.30811456420577,122.87544794446015,350.21468714163916,134.36532122827919,346.23742331262486,146.29711271532204,348.8889325319677,154.69355857657442,352.4242781577582,162.648086234603,353.30811456420577,122.87544794446015,360.3788058157868,132.15573021216014,367.4494970673677,142.31984888630777,365.6818242544725,152.9258857636792,363.0303150351296,160.88041342170774,327.6768587772249,165.74151365716963,341.37632307716297,165.74151365716963,352.4242781577582,161.32233162493154,365.68182425447253,162.20616803137918,374.0782701157249,155.1354767797982,301.1617665837963,174.137959518422,322.815758541763,189.60509663125535,341.8182412803868,194.02427866349345,360.3788058157868,192.698524053822,382.4747159769772,183.41824178612202,273.7628379839201,191.8146876473744,298.9521755676773,215.23635241823632,338.7248138578201,226.28430749883154,378.0555339447392,224.5166346859363,420.9215996574487,206.83990655698392,20.101796076590226,223.19088007626485,30.265914750737842,246.61254484712674,109.81119133102352,237.77418078265057
