scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5,thyroid_1,thyroid_1,thyroid_2,thyroid_2,thyroid_3,thyroid_3,thyroid_4,thyroid_4,thyroid_5,thyroid_5,ventral_edge_1,ventral_edge_1,ventral_edge_2,ventral_edge_2,ventral_edge_3,ventral_edge_3
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,190905_fem891_001,img0015.png,342.8123384376219,118.1547931546178,342.37325579630306,124.74103277440022,342.8123384376219,130.8881897528638,342.8123384376219,138.7916772966027,342.37325579630306,145.81699955770392,342.37325579630306,118.1547931546178,342.8123384376219,123.86286749176256,343.2514210789407,130.8881897528638,343.6905037202595,138.35259465528387,343.2514210789407,144.93883427506628,314.7110493932169,137.4744293726462,325.6881154261876,141.42617314451567,337.9824293831148,144.06066899242862,349.3985780574043,144.06066899242862,358.18023088378084,140.98709050319684,297.58682638178266,148.4514954056169,317.3455452411299,159.86764407990643,339.29967730707125,169.0883795476018,362.5710572969691,164.25847049309468,384.0861067215917,155.03773502539931,272.9981984679283,180.06544558057246,301.0994875123332,202.45866028783266,337.5433467417959,211.67939575552805,374.8653712538962,202.45866028783266,407.35748671148946,179.18728029793482,85.9489966160425,184.45627157501892,99.56055849692618,217.82655231524978,157.08038450969258,207.28856892359792
labeled-data,190905_fem891_001,img0056.png,341.93417315498425,118.1547931546178,341.93417315498425,124.74103277440022,341.93417315498425,130.8881897528638,337.1042641004771,137.91351201396503,337.1042641004771,145.81699955770392,342.37325579630306,118.1547931546178,342.8123384376219,123.86286749176256,343.6905037202595,130.44910711154498,348.9594954160855,138.35259465528387,348.0813301334478,144.93883427506628,314.7110493932169,137.4744293726462,325.6881154261876,141.86525578583448,337.1042641004771,144.49975163374745,347.642247492129,143.6215863511098,358.18023088378084,140.98709050319684,295.8304958165074,150.2078259708922,316.46737995849224,161.1848920038629,338.86059466575244,169.96654483023946,363.0101399382879,165.57571841705118,383.207941438954,155.47681766671812,272.1200331852906,180.5045282218913,301.5385701536521,203.77590821178916,337.5433467417959,212.11847839684688,375.30445389521503,203.77590821178916,407.7965693528083,180.94361086321013,80.24092227889776,190.16434591216367,95.1697320837379,220.9001308044816,151.81139281386663,209.48398213019206
labeled-data,190905_fem891_001,img0123.png,342.37325579630306,118.59387579593664,342.8123384376219,124.74103277440022,336.6651814591583,130.01002447022614,334.90885089388297,137.91351201396503,334.46976825256417,145.81699955770392,342.8123384376219,118.1547931546178,344.1295863615784,123.86286749176256,348.9594954160855,130.44910711154498,351.5939912639984,138.35259465528387,350.7158259813608,145.3779169163851,310.32022298002863,145.3779169163851,322.175454295637,146.25608219902276,333.5916029699265,147.13424748166042,342.8123384376219,151.9641565361675,355.5457350358679,148.01241276429806,289.24425619672496,158.98947879726876,313.8328841105793,171.28379275419593,334.90885089388297,180.5045282218913,361.2538093730126,173.47920596079007,384.52518936291045,160.30672672122523,270.3637026200153,189.28618104826785,300.2213222296956,209.4839825489339,336.66518145915825,218.26563537531044,373.9872059712586,207.7276519836586,406.91840407017065,186.21260255903604,66.19027775669528,200.2632466624967,81.99725284417306,227.486370424264,141.27340942221477,215.63113910865565
labeled-data,190905_fem891_001,img0602.png,343.6905037202595,116.83754523066133,340.1778425897089,124.74103277440022,335.34793353520183,130.01002447022614,335.34793353520183,137.91351201396503,335.34793353520183,145.81699955770392,343.6905037202595,117.71571051329897,348.52041277476667,123.86286749176256,351.5939912639984,130.44910711154498,352.91123918795495,138.35259465528387,350.27674334004195,145.3779169163851,308.56389241475335,148.01241276429806,321.7363716543182,146.25608219902276,333.5916029699265,146.6951648403416,344.1295863615784,150.2078259708922,355.5457350358679,148.89057804693573,285.7315950661743,164.25847049309468,310.7593056213475,178.30911501529715,332.27435504597,187.0907678416737,359.9365614490561,177.87003237397832,384.52518936291045,163.38030521045704,268.60737205474004,190.60342897222432,298.02590902310146,212.11847839684688,335.3479335352018,221.33921386454224,373.1090406886209,212.11847839684688,406.040238787533,191.04251161354316,67.94660832197059,200.70232930381553,84.63174869208603,227.486370424264,141.27340942221477,215.63113910865565
labeled-data,190905_fem891_001,img0738.png,343.6905037202595,116.83754523066133,339.7387599483901,123.86286749176256,335.34793353520183,130.01002447022614,335.78701617652064,137.91351201396503,334.90885089388297,146.25608219902276,343.6905037202595,117.71571051329897,348.9594954160855,123.86286749176256,352.91123918795495,130.44910711154498,353.35032182927375,138.35259465528387,350.7158259813608,145.3779169163851,309.442057697391,143.18250370979098,322.175454295637,143.62158635110978,333.5916029699265,143.6215863511098,344.5686690028972,147.57333012297926,356.86298295982436,144.49975163374745,288.3660909140873,159.4285614385876,312.95471882794163,173.47920596079007,334.46976825256417,180.5045282218913,359.49747880773725,173.04012331947123,384.52518936291045,160.30672672122523,269.48553733737765,188.40801576563018,300.2213222296956,208.1667346249774,336.22609881783944,217.82655273399163,373.1090406886209,208.1667346249774,406.4793214288518,188.40801576563018,68.38569096328942,198.06783345590256,85.9489966160425,224.85187457635104,141.27340942221477,213.87480854338034
labeled-data,190905_fem891_001,img0999.png,343.6905037202595,116.83754523066133,339.7387599483901,123.86286749176256,335.34793353520183,130.01002447022614,336.2260988178395,137.91351201396503,334.90885089388297,146.25608219902276,343.6905037202595,117.71571051329897,349.3985780574043,123.86286749176256,352.4721565466361,130.44910711154498,352.91123918795495,138.35259465528387,350.27674334004195,145.81699955770392,309.00297505607216,144.49975163374745,321.7363716543182,143.62158635110978,333.1525203286077,144.49975163374745,343.6905037202595,148.4514954056169,354.6675697532302,147.13424748166042,287.92700827276843,160.30672672122523,312.07655354530397,174.3573712434277,333.5916029699265,182.2608587871666,359.49747880773725,174.79645388474654,384.52518936291045,163.38030521045704,269.48553733737765,188.40801576563018,300.2213222296956,208.1667346249774,336.22609881783944,217.3874700926728,373.1090406886209,209.4839825489339,406.4793214288518,188.84709840694902,71.45926945252123,197.1896681732649,85.9489966160425,224.85187457635104,141.27340942221477,213.87480854338034
labeled-data,190905_fem891_001,img1086.png,343.6905037202595,116.83754523066133,339.7387599483901,123.86286749176256,335.34793353520183,130.01002447022614,335.78701617652064,137.91351201396503,335.78701617652064,146.25608219902276,344.1295863615784,117.71571051329897,348.0813301334478,123.86286749176256,351.1549086226796,130.44910711154498,351.1549086226796,138.35259465528387,348.9594954160855,146.25608219902276,306.807561849478,148.89057804693573,320.41912373036166,148.89057804693573,331.39618976333236,148.89057804693573,342.37325579630306,153.72048710144284,354.6675697532302,151.5250738948487,284.8534297835367,166.45388369968882,309.442057697391,180.0654455805725,332.27435504597,185.77351991771724,359.9365614490561,176.55278445002185,386.28151992818573,162.06305728650054,268.1682894134212,191.04251161354316,298.46499166442027,213.43572632080335,335.3479335352018,222.2173791471799,371.7917927646645,213.43572632080335,404.28390822225765,194.11609010277493,71.89835209384003,202.45865986909084,89.46165774659315,227.92545306558281,144.78607055276538,213.87480854338034
labeled-data,190905_fem891_001,img1299.png,343.6905037202595,116.83754523066133,339.7387599483901,123.86286749176256,335.34793353520183,130.01002447022614,335.78701617652064,137.91351201396503,335.78701617652064,146.25608219902276,344.1295863615784,117.71571051329897,348.52041277476667,123.86286749176256,351.5939912639984,130.44910711154498,351.5939912639984,138.35259465528387,348.9594954160855,146.25608219902276,306.807561849478,148.89057804693573,320.8582063716805,148.01241276429806,331.39618976333236,148.01241276429806,342.37325579630306,153.72048710144284,355.10665239454903,150.2078259708922,286.60976034881196,163.38030521045704,310.7593056213475,176.55278445002185,334.46976825256417,181.82177614584776,359.9365614490561,176.113701808703,385.4033546455481,163.81938785177584,269.04645469605885,190.1643463309055,298.9040743057391,211.67939575552805,335.3479335352018,220.9001312232234,371.7917927646645,212.11847839684688,404.28390822225765,190.60342897222432,72.33743473515887,198.06783345590256,89.90074038791197,225.29095721766987,144.34698791144655,212.55756061942387
