scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5,thyroid_1,thyroid_1,thyroid_2,thyroid_2,thyroid_3,thyroid_3,thyroid_4,thyroid_4,thyroid_5,thyroid_5,ventral_edge_1,ventral_edge_1,ventral_edge_2,ventral_edge_2,ventral_edge_3,ventral_edge_3
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,190905_red10_007,img0057.png,370.97606645398747,100.87645769075421,370.09553096598285,107.92074159479161,369.21499547797816,114.96502549882901,368.7747277339758,121.12877391486172,369.6552632219805,126.85225458689213,370.97606645398747,101.75699317875886,370.09553096598285,106.59993836278458,370.5357987099851,112.32341903481499,369.6552632219805,118.4871674508477,369.2149954779781,125.09118361088277,354.68615992590094,125.09118361088274,365.69285352595944,126.41198684288976,374.05794066200383,126.41198684288976,381.5424923100436,123.77038037887574,389.02704395808325,120.24823842685704,332.67277272578406,136.53814495494353,348.5224115098682,143.58242885898096,368.77472773397574,146.22403532299498,387.26597298207395,144.02269660298327,404.8766827421675,134.33680623493186,305.81644034164145,162.07367410707914,333.11304046978637,183.20652581919137,368.77472773397574,187.1689355152124,403.9961472541628,182.76625807518903,436.5759603103358,156.79046117905108,37.693390962170376,137.85895154592686,43.857139378203094,174.84144204212322,89.20471701044389,174.84144204212325
labeled-data,190905_red10_007,img0222.png,370.97606645398747,101.31672543475652,370.53579870998516,107.92074159479161,370.09553096598285,114.52475775482667,370.09553096598285,121.56904165886407,370.53579870998516,126.85225458689213,370.97606645398747,101.75699317875886,370.53579870998516,106.59993836278458,370.9760664539874,111.88315129081265,370.5357987099851,118.04689970684537,370.5357987099851,125.5314513548851,354.68615992590094,125.09118361088274,365.25258578195707,126.41198684288976,373.6176729180015,125.97171909888742,381.5424923100436,123.77038037887574,390.3478471900903,121.1287739148617,332.67277272578406,137.85894818695056,349.8432147418753,145.3434998349903,367.8941922459711,147.98510629900431,387.7062407260763,145.3434998349903,405.7572182301722,136.09787721094122,306.6969758296462,162.95420959508382,332.67277272578417,184.52732905119836,368.77472773397585,187.1689355152124,403.11561176615817,182.76625807518903,436.57596031033586,157.23072892305342,37.693390962170376,138.29921928992923,43.857139378203094,175.2817097861256,88.76444926644155,174.84144204212325
labeled-data,190905_red10_007,img0282.png,372.73713742999684,101.75699317875886,372.73713742999684,107.92074159479161,368.7747277339758,114.96502549882901,369.21499547797816,121.56904165886407,370.53579870998516,126.85225458689213,372.73713742999684,101.75699317875886,373.6176729180015,106.59993836278458,377.58008261402256,111.88315129081265,377.58008261402256,118.92743519485005,375.8190116380132,125.97171909888745,357.327766389915,130.3743965389108,367.01365675796643,130.81466428291316,375.8190116380132,130.3743965389108,384.6243665180599,129.93412879490847,393.4297213981067,125.53145135488508,337.5157179098098,147.10457081099966,356.006963157908,154.5891224590394,373.17740517399915,156.35019343504874,390.7881149340927,151.0669805070207,410.15989567019557,140.94082239496691,312.4204565016766,170.43876124312357,338.3962533978146,190.25080972322877,371.41633419798984,192.45214844324045,407.95855695018395,187.1689355152124,440.0981022623546,159.87233538706747,28.44776833812127,147.98510965798062,38.1336587061727,179.68438722614897,85.24230731442285,177.4830485061373
labeled-data,190905_red10_007,img0309.png,374.9384761500085,101.75699317875886,372.73713742999684,107.92074159479161,369.6552632219805,114.96502549882901,369.6552632219805,121.56904165886407,371.41633419798984,126.85225458689213,375.3787438940109,101.75699317875886,374.9384761500085,107.04020610678693,378.90088584602955,111.88315129081265,380.22168907803655,119.36770293885239,379.34115359003187,126.41198684288979,357.327766389915,132.57573525892252,367.8941922459711,132.13546751492015,376.2592793820155,131.25493202691547,385.50490200606464,131.69519977091784,394.75052463011366,127.73279007489678,338.8365211418168,148.865641787009,357.327766389915,157.23072892305342,374.49820840600614,159.43206764306512,392.10891816609967,153.70858697103472,411.92096664620493,143.58242885898096,313.7412597336836,173.08036770713758,340.1573243738239,191.5716129552358,373.1774051739992,193.33268393124513,409.7196279261933,187.1689355152124,442.29944098236626,160.75287087507212,26.68669736211192,150.18644837799235,36.812855474165694,181.005190458156,85.24230731442285,177.4830485061373
labeled-data,190905_red10_007,img0330.png,375.8190116380132,101.75699317875886,372.73713742999684,108.36100933879395,370.09553096598285,114.96502549882901,370.53579870998516,121.56904165886407,371.85660194199215,126.85225458689213,375.8190116380132,101.75699317875886,378.46061810202724,106.59993836278458,381.5424923100436,112.32341903481499,381.9827600540459,118.92743519485005,383.3035632860529,125.5314513548851,358.20830187791967,132.57573525892252,368.3344599899734,133.45627074692715,377.58008261402256,131.25493202691547,387.265972982074,132.13546751492015,396.511595606123,128.61332556290148,338.8365211418168,148.865641787009,357.327766389915,157.23072892305342,375.8190116380132,161.19313861907446,393.42972139810666,155.9099256910464,412.36123439020724,144.46296434698561,315.94259845369527,175.2817064271493,340.59759211782625,192.45214844324045,374.05794066200394,193.77295167524747,411.04043115820025,187.60920325921472,444.0605119583756,161.19313861907446,25.806161874107254,151.06698386599697,35.93231998616101,181.88572594616068,85.24230731442285,175.2817097861256
labeled-data,190905_red10_007,img0371.png,375.8190116380132,101.75699317875886,372.73713742999684,107.92074159479161,369.6552632219805,114.52475775482667,370.97606645398747,121.56904165886407,372.73713742999684,127.29252233089447,376.25927938201556,101.75699317875886,379.78142133403423,106.59993836278458,382.8632955420506,112.32341903481499,383.7438310300553,118.92743519485005,382.86329554205054,125.5314513548851,359.08883736592435,132.13546751492015,367.8941922459711,131.25493202691547,377.58008261402256,129.0535933069038,386.8257052380716,130.3743965389108,396.95186335012534,129.0535933069038,338.8365211418168,149.74617727501368,357.327766389915,158.55153215506044,376.6995471260178,162.95420959508382,394.3102568861114,156.79046117905108,412.8015021342096,144.90323209098796,315.94259845369527,175.2817064271493,341.4781276058309,193.33268393124513,374.49820840600626,194.65348716325215,411.4806989022027,188.04947100321706,444.50077970237794,161.19313861907446,24.04509089809789,151.94751935400168,35.93231998616101,181.88572594616068,85.24230731442285,175.2817097861256
labeled-data,190905_red10_007,img0486.png,376.6995471260179,101.31672543475652,373.1774051739992,107.92074159479161,370.09553096598285,114.52475775482667,371.85660194199215,121.56904165886407,372.73713742999684,126.85225458689213,377.13981487002025,101.75699317875886,380.6619568220389,106.59993836278458,384.18409877405765,112.76368677881733,384.1840987740576,118.92743519485005,383.3035632860529,125.5314513548851,358.648569621922,131.25493202691547,367.8941922459711,129.0535933069038,378.02035035802487,126.8522545868921,387.265972982074,129.4938610509061,396.95186335012534,128.1730578188991,338.8365211418168,149.74617727501368,357.327766389915,159.43206764306512,378.9008858460295,163.83474508308848,396.07132786212077,156.79046117905108,414.562573110219,145.3434998349903,315.94259845369527,175.2817064271493,341.03785986182857,193.33268393124513,375.3787438940109,194.65348716325215,411.4806989022027,188.04947100321706,444.50077970237794,161.19313861907446,24.04509089809789,151.94751935400168,35.93231998616101,181.88572594616068,85.24230731442285,175.2817097861256
labeled-data,190905_red10_007,img0503.png,377.13981487002025,100.87645769075421,373.1774051739992,108.36100933879395,370.53579870998516,114.08449001082433,371.8566019419922,121.56904165886407,372.2968696859945,127.29252233089447,377.58008261402256,101.31672543475652,380.6619568220389,106.59993836278458,385.50490200606464,113.20395452281964,382.8632955420506,118.92743519485005,383.30356328605296,125.97171909888748,358.648569621922,130.81466428291316,368.3344599899734,128.61332556290148,377.58008261402256,126.41198684288976,386.8257052380716,129.0535933069038,396.95186335012534,128.1730578188991,338.8365211418168,149.74617727501368,357.327766389915,159.87233538706744,378.9008858460295,163.83474508308848,398.27266658213244,157.67099666705576,415.44310859822366,145.78376757899264,315.94259845369527,175.2817064271493,341.03785986182857,193.33268393124513,375.3787438940109,194.65348716325215,411.4806989022027,188.04947100321706,444.50077970237794,161.19313861907446,24.48535864210023,151.94751935400168,35.93231998616101,181.88572594616068,85.24230731442285,175.2817097861256
