scorer,,,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith,SamKSmith
bodyparts,,,glottis_left_1,glottis_left_1,glottis_left_2,glottis_left_2,glottis_left_3,glottis_left_3,glottis_left_4,glottis_left_4,glottis_left_5,glottis_left_5,glottis_right_1,glottis_right_1,glottis_right_2,glottis_right_2,glottis_right_3,glottis_right_3,glottis_right_4,glottis_right_4,glottis_right_5,glottis_right_5,alar_edge_1,alar_edge_1,alar_edge_2,alar_edge_2,alar_edge_3,alar_edge_3,alar_edge_4,alar_edge_4,alar_edge_5,alar_edge_5,EG_1,EG_1,EG_2,EG_2,EG_3,EG_3,EG_4,EG_4,EG_5,EG_5,thyroid_1,thyroid_1,thyroid_2,thyroid_2,thyroid_3,thyroid_3,thyroid_4,thyroid_4,thyroid_5,thyroid_5,ventral_edge_1,ventral_edge_1,ventral_edge_2,ventral_edge_2,ventral_edge_3,ventral_edge_3
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,190905_red9_004_rotated,img0033.png,416.8561430027796,161.89349221253852,414.97281231567683,173.5701424725756,411.2061509414714,180.3501329461455,413.08948162857416,188.6367879693976,412.7128154911536,196.54677685522915,417.2328091402002,162.27015834995908,414.97281231567683,172.44014406031394,416.1028107279385,180.3501329461455,413.46614776599466,187.50678955713596,413.08948162857416,194.28678003070587,397.269503856911,196.17011071780863,409.3228202543686,195.79344458038807,419.1161398273029,193.53344775586476,430.0394578124989,193.1567816184442,438.7027789731715,190.52011865650036,374.29286947425743,208.22342711526622,396.5161715820699,215.38008372625666,416.47947686535906,219.14674510046217,441.7161080725359,214.62675145141557,457.536085844199,202.19676891653742,359.602890114856,239.86338265859243,385.9695197342945,251.5400329186295,419.1161398273029,252.67003133089113,462.05607949324565,242.1233794831157,485.7860461507403,225.92673557403208,80.11662117784323,189.3901202442387,100.45659259855294,238.73338424633073,169.38649574651362,236.850053559228
labeled-data,190905_red9_004_rotated,img0250.png,417.9861414150413,161.89349221253852,415.3494784530974,173.5701424725756,410.45281866663026,179.97346680872496,407.43948956726587,189.39012024423872,410.0761525292097,197.30010913007027,417.2328091402002,161.516826075118,416.47947686535906,172.44014406031394,421.3761366518262,180.3501329461455,419.869472102144,187.50678955713596,419.4928059647235,194.6634461681264,399.5295006814343,196.17011071780863,408.94615411694804,197.67677526749083,419.49280596472346,196.54677685522915,430.41612394991944,195.04011230554696,439.0794451105921,191.650117068762,376.17620016136016,210.86009007721006,402.5428297807987,218.39341282562108,422.50613506408786,221.40674192498548,442.0927742099565,216.88674827593886,459.04275039388125,202.19676891653742,363.36955148906145,242.50004562053627,386.7228520091356,253.0466974683117,422.50613506408786,254.5533620179939,465.4460747300306,243.63004403279794,487.66937683784306,226.68006784887316,77.47995821589937,190.89678479392086,98.19659577402965,240.6167149334335,167.87983119683145,238.35671810891012
labeled-data,190905_red9_004_rotated,img0287.png,417.9861414150413,161.516826075118,414.59614617825633,172.8168101977345,410.8294848040508,179.97346680872496,406.6861572924248,189.01345410681816,407.43948956726587,197.67677526749083,417.60947527762073,161.516826075118,421.3761366518262,172.0634779228934,425.5194641634523,180.3501329461455,425.5194641634523,187.88345569455652,426.6494625757139,195.04011230554696,399.90616681885484,198.05344140491135,411.2061509414714,200.69010436685522,422.1294689266673,199.18343981717302,433.4294530492838,198.05344140491135,443.97610489705926,194.28678003070584,379.56619539814517,215.0034175888361,409.3228202543686,221.03007578756493,430.41612394991944,222.91340647466768,451.5094276454702,218.01674668820053,465.8227408674511,201.4434366416963,372.03287264973414,249.28003609410618,396.13950544464933,258.32002339219935,429.6627916750783,257.94335725477885,469.9660683790772,246.64337313216234,492.5660366243102,229.316730810817,68.81663705522672,198.05344140491133,93.67660212498302,245.1367085824802,156.9565132116355,245.89004085732114
labeled-data,190905_red9_004_rotated,img0338.png,420.99947051440563,160.0101615254358,417.60947527762073,172.8168101977345,412.7128154911536,180.3501329461455,408.94615411694804,189.39012024423872,411.2061509414714,197.67677526749083,420.9994705144057,160.76349380027688,425.5194641634523,172.0634779228934,428.53279326281665,180.3501329461455,428.1561271253961,188.26012183197705,427.0261287131345,195.04011230554696,403.67282819306035,196.54677685522915,415.3494784530974,196.9234429926497,425.1427980260317,195.4167784429675,437.19611442348935,196.17011071780863,447.7427662712647,194.6634461681264,387.4761842839767,217.64008055077997,416.1028107279385,224.42007102434988,440.9627757976948,224.79673716177044,463.9394101803484,219.14674510046217,478.2527234023293,202.19676891653742,381.82619222266845,256.4366927050966,411.2061509414714,264.3466815909282,441.7161080725359,260.95668635414324,475.61606044038547,250.41003450636782,503.1126884720856,233.08339218502252,57.516652932610214,212.74342076431284,87.64994392625422,250.03336836894735,153.18985183742996,248.9033699566856
labeled-data,190905_red9_004_rotated,img0416.png,420.99947051440563,160.0101615254358,417.60947527762073,172.8168101977345,413.46614776599466,180.3501329461455,408.94615411694804,189.39012024423872,411.2061509414714,197.67677526749083,420.9994705144057,160.76349380027688,425.89613030087287,172.0634779228934,428.9094594002372,180.3501329461455,428.1561271253961,188.26012183197705,427.7794609879756,195.04011230554696,403.2961620556398,196.54677685522915,415.72614459051795,196.9234429926497,425.1427980260317,195.4167784429675,436.8194482860688,196.9234429926497,447.7427662712647,195.4167784429675,387.4761842839767,217.64008055077997,416.8561430027796,224.42007102434988,442.0927742099565,225.17340329919097,464.31607631776893,219.52341123788273,477.4993911274882,202.9501011913785,381.82619222266845,256.4366927050966,411.58281707889194,264.3466815909282,443.5994387596387,261.3333524915638,477.4993911274882,250.78670064378838,504.2426868843473,233.46005832244307,56.38665452034856,215.75674986367716,83.50661641462818,251.163366781209,152.81318570000943,250.41003450636782
labeled-data,190905_red9_004_rotated,img0545.png,421.3761366518262,160.0101615254358,417.9861414150413,172.44014406031394,413.08948162857416,179.97346680872496,408.94615411694804,189.39012024423872,411.2061509414714,197.67677526749083,420.9994705144057,160.76349380027688,425.89613030087287,172.0634779228934,428.9094594002372,180.3501329461455,428.53279326281665,188.26012183197705,428.53279326281665,195.04011230554696,404.0494943304809,195.79344458038807,416.47947686535906,195.79344458038807,426.27279643829337,194.6634461681264,436.8194482860688,195.4167784429675,446.9894339964236,194.6634461681264,387.85285042139725,216.88674827593886,416.8561430027796,224.42007102434988,443.5994387596387,225.92673557403208,464.6927424551895,220.65340965014437,479.7593879520115,204.08009960364015,381.4495260852479,256.06002656767606,411.58281707889194,264.3466815909282,443.5994387596387,261.3333524915638,478.2527234023293,251.16336678120894,504.61935302176784,233.46005832244307,56.763320657769114,216.51008213851827,82.75328413978707,251.54003291862955,151.68318728774776,251.16336678120888
labeled-data,190905_red9_004_rotated,img0580.png,421.75280278924674,159.63349538801523,418.36280755246185,172.44014406031394,413.46614776599466,179.97346680872496,408.94615411694804,189.39012024423872,411.58281707889194,197.67677526749083,420.9994705144057,160.76349380027688,425.89613030087287,172.0634779228934,430.0394578124989,180.3501329461455,429.6627916750783,188.26012183197705,429.28612553765777,195.4167784429675,404.0494943304809,194.6634461681264,416.1028107279385,195.79344458038807,425.51946416345226,194.28678003070587,436.8194482860688,195.79344458038807,446.9894339964236,194.6634461681264,392.74951020786443,218.39341282562106,418.73947368988235,225.92673557403208,447.36610013384416,227.05673398629372,469.2127361042361,222.16007419982657,482.7727170513759,204.08009960364015,382.5795244975095,256.8133588425172,413.84281390341516,264.3466815909282,444.35277103447976,260.95668635414324,480.5127202268526,251.91669905605002,505.74935143402945,233.08339218502252,56.763320657769114,216.51008213851827,82.75328413978707,251.54003291862955,151.68318728774776,251.16336678120888
labeled-data,190905_red9_004_rotated,img0727.png,419.869472102144,160.38682766285632,415.72614459051795,172.0634779228934,411.9594832163125,179.97346680872496,407.8161557046864,189.39012024423872,409.3228202543686,197.67677526749083,419.4928059647235,160.76349380027688,424.0127996137701,171.68681178547286,427.40279485055504,179.22013453388385,426.6494625757139,187.88345569455652,427.7794609879756,195.4167784429675,402.5428297807987,197.30010913007027,414.2194800408357,199.9367720920141,424.38946575119064,198.05344140491135,434.55945146154545,198.05344140491135,446.9894339964236,195.4167784429675,384.4628551846123,213.49675303915393,407.81615570468637,220.65340965014437,432.29945463702217,222.16007419982657,452.26275992031134,219.52341123788273,469.2127361042361,205.58676415332235,373.9162033368369,251.16336678120894,402.1661636433781,260.5800202167227,435.31278373638656,258.32002339219935,470.7194006539183,249.65670223152674,496.3326979985157,231.95339377276088,63.16664499391847,207.09342870300452,89.15660847593642,244.38337630763908,153.18985183742996,246.26670699474175
